model,horizon,wis,rel_wis,mae,cov_50,cov_95
UNC_IDD-InfluPaint,2,74.38,1.08,104.82,27.57,67.85
UNC_IDD-InfluPaint,3,88.44,1.09,127.48,26.59,69.97
UVAFluX-Ensemble,0,22.77,0.88,34.64,46.25,86.8
UVAFluX-Ensemble,1,40.71,0.93,59.49,40.34,79.4
UVAFluX-Ensemble,2,60.13,1.02,84.88,37.78,73.41
UVAFluX-Ensemble,3,83.7,1.17,115.67,33.09,69.13
VTSanghani-Ensemble,0,41.45,1.65,54.42,22.17,53.58
VTSanghani-Ensemble,1,61.7,1.46,78.54,21.17,49.16
VTSanghani-Ensemble,2,70.98,1.2,91.29,23.6,49.96
VTSanghani-Ensemble,3,89.81,1.23,113.57,20.47,44.62
cfarenewal-cfaepimlight,0,23.28,0.91,36.2,47.72,92.41
cfarenewal-cfaepimlight,1,40.02,0.93,62.38,46.07,92.97
cfarenewal-cfaepimlight,2,53.7,0.92,82.2,44.63,95.17
cfarenewal-cfaepimlight,3,62.54,0.88,93.25,44.01,95.13
fjordhest-ensemble,0,20.95,0.83,32.39,46.98,90.18
fjordhest-ensemble,1,35.59,0.84,55.5,47.01,91.96
fjordhest-ensemble,2,50.34,0.86,78.36,45.69,90.24
fjordhest-ensemble,3,61.33,0.86,94.97,47.08,88.75
