date,location,location_name,count
2024-04-06,09,Connecticut,88
2024-04-06,11,District of Columbia,23
2024-04-06,10,Delaware,19
2024-04-06,12,Florida,314
2024-04-06,13,Georgia,56
2024-04-06,15,Hawaii,9
2024-04-06,19,Iowa,82
2024-04-06,16,Idaho,31
2024-04-06,17,Illinois,182
2024-04-06,18,Indiana,153
2024-04-06,20,Kansas,42
2024-04-06,21,Kentucky,102
2024-04-06,22,Louisiana,34
2024-04-06,25,Massachusetts,214
2024-04-06,24,Maryland,88
2024-04-06,23,Maine,24
2024-04-06,26,Michigan,412
2024-04-06,27,Minnesota,112
2024-04-06,29,Missouri,148
2024-04-06,28,Mississippi,60
2024-04-06,30,Montana,7
2024-04-06,37,North Carolina,77
2024-04-06,38,North Dakota,19
2024-04-06,31,Nebraska,55
2024-04-06,33,New Hampshire,16
2024-04-06,34,New Jersey,168
2024-04-06,35,New Mexico,41
2024-04-06,32,Nevada,35
2024-04-06,36,New York,411
2024-04-06,39,Ohio,269
2024-04-06,40,Oklahoma,63
2024-04-06,41,Oregon,51
2024-04-06,42,Pennsylvania,258
2024-04-06,72,Puerto Rico,39
2024-04-06,44,Rhode Island,16
2024-04-06,45,South Carolina,44
2024-04-06,46,South Dakota,37
2024-04-06,47,Tennessee,102
2024-04-06,48,Texas,247
2024-04-06,US,US,4951
2024-04-06,49,Utah,5
2024-04-06,51,Virginia,157
2024-04-06,50,Vermont,9
2024-04-06,53,Washington,43
2024-04-06,55,Wisconsin,125
2024-04-06,54,West Virginia,68
2024-04-06,56,Wyoming,7
2024-03-30,02,Alaska,8
2024-03-30,01,Alabama,61
2024-03-30,05,Arkansas,82
2024-03-30,04,Arizona,97
2024-03-30,06,California,181
2024-03-30,08,Colorado,68
2024-03-30,09,Connecticut,89
2024-03-30,11,District of Columbia,18
2024-03-30,10,Delaware,15
2024-03-30,12,Florida,404
2024-03-30,13,Georgia,64
2024-03-30,15,Hawaii,7
2024-03-30,19,Iowa,90
2024-03-30,16,Idaho,45
2024-03-30,17,Illinois,204
2024-03-30,18,Indiana,156
2024-03-30,20,Kansas,70
2024-03-30,21,Kentucky,120
2024-03-30,22,Louisiana,48
2024-03-30,25,Massachusetts,200
2024-03-30,24,Maryland,76
2024-03-30,23,Maine,23
2024-03-30,26,Michigan,480
2024-03-30,27,Minnesota,124
2024-03-30,29,Missouri,193
2024-03-30,28,Mississippi,51
2024-03-30,30,Montana,29
2024-03-30,37,North Carolina,88
2024-03-30,38,North Dakota,31
2024-03-30,31,Nebraska,51
2024-03-30,33,New Hampshire,17
2024-03-30,34,New Jersey,188
2024-03-30,35,New Mexico,36
2024-03-30,32,Nevada,26
2024-03-30,36,New York,392
2024-03-30,39,Ohio,244
2024-03-30,40,Oklahoma,91
2024-03-30,41,Oregon,64
2024-03-30,42,Pennsylvania,268
2024-03-30,72,Puerto Rico,48
2024-03-30,44,Rhode Island,14
2024-03-30,45,South Carolina,63
2024-03-30,46,South Dakota,33
2024-03-30,47,Tennessee,86
2024-03-30,48,Texas,301
2024-03-30,US,US,5445
2024-03-30,49,Utah,11
2024-03-30,51,Virginia,111
2024-03-30,50,Vermont,15
2024-03-30,53,Washington,56
2024-03-30,55,Wisconsin,126
2024-03-30,54,West Virginia,71
2024-03-30,56,Wyoming,11
2024-03-23,02,Alaska,10
2024-03-23,01,Alabama,59
2024-03-23,05,Arkansas,105
2024-03-23,04,Arizona,106
2024-03-23,06,California,175
2024-03-23,08,Colorado,97
2024-03-23,09,Connecticut,83
2024-03-23,11,District of Columbia,20
2024-03-23,10,Delaware,16
2024-03-23,12,Florida,428
2024-03-23,13,Georgia,82
2024-03-23,15,Hawaii,6
2024-03-23,19,Iowa,94
2024-03-23,16,Idaho,55
2024-03-23,17,Illinois,216
2024-03-23,18,Indiana,149
2024-03-23,20,Kansas,66
2024-03-23,21,Kentucky,129
2024-03-23,22,Louisiana,33
2024-03-23,25,Massachusetts,236
2024-03-23,24,Maryland,75
2024-03-23,23,Maine,26
2024-03-23,26,Michigan,495
2024-03-23,27,Minnesota,133
2024-03-23,29,Missouri,192
2024-03-23,28,Mississippi,48
2024-03-23,30,Montana,21
2024-03-23,37,North Carolina,83
2024-03-23,38,North Dakota,20
2024-03-23,31,Nebraska,61
2024-03-23,33,New Hampshire,25
2024-03-23,34,New Jersey,181
2024-03-23,35,New Mexico,57
2024-03-23,32,Nevada,41
2024-03-23,36,New York,357
2024-03-23,39,Ohio,266
2024-03-23,40,Oklahoma,94
2024-03-23,41,Oregon,97
2024-03-23,42,Pennsylvania,347
2024-03-23,72,Puerto Rico,50
2024-03-23,44,Rhode Island,14
2024-03-23,45,South Carolina,67
2024-03-23,46,South Dakota,59
2024-03-23,47,Tennessee,128
2024-03-23,48,Texas,339
2024-03-23,US,US,5911
2024-03-23,49,Utah,12
2024-03-23,51,Virginia,141
2024-03-23,50,Vermont,18
2024-03-23,53,Washington,81
2024-03-23,55,Wisconsin,133
2024-03-23,54,West Virginia,80
2024-03-23,56,Wyoming,5
2024-03-16,02,Alaska,9
2024-03-16,01,Alabama,81
2024-03-16,05,Arkansas,198
2024-03-16,04,Arizona,134
2024-03-16,06,California,189
2024-03-16,08,Colorado,96
2024-03-16,09,Connecticut,100
2024-03-16,11,District of Columbia,14
2024-03-16,10,Delaware,18
2024-03-16,12,Florida,532
2024-03-16,13,Georgia,106
2024-03-16,15,Hawaii,18
2024-03-16,19,Iowa,115
2024-03-16,16,Idaho,68
2024-03-16,17,Illinois,258
2024-03-16,18,Indiana,255
2024-03-16,20,Kansas,103
2024-03-16,21,Kentucky,142
2024-03-16,22,Louisiana,40
2024-03-16,25,Massachusetts,302
2024-03-16,24,Maryland,114
2024-03-16,23,Maine,33
2024-03-16,26,Michigan,537
2024-03-16,27,Minnesota,164
2024-03-16,29,Missouri,281
2024-03-16,28,Mississippi,60
2024-03-16,30,Montana,36
2024-03-16,37,North Carolina,94
2024-03-16,38,North Dakota,29
2024-03-16,31,Nebraska,69
2024-03-16,33,New Hampshire,38
2024-03-16,34,New Jersey,222
2024-03-16,35,New Mexico,45
2024-03-16,32,Nevada,38
2024-03-16,36,New York,414
2024-03-16,39,Ohio,357
2024-03-16,40,Oklahoma,139
2024-03-16,41,Oregon,68
2024-03-16,42,Pennsylvania,369
2024-03-16,72,Puerto Rico,64
2024-03-16,44,Rhode Island,22
2024-03-16,45,South Carolina,78
2024-03-16,46,South Dakota,43
2024-03-16,47,Tennessee,132
2024-03-16,48,Texas,462
2024-03-16,US,US,7268
2024-03-16,49,Utah,17
2024-03-16,51,Virginia,159
2024-03-16,50,Vermont,24
2024-03-16,53,Washington,85
2024-03-16,55,Wisconsin,185
2024-03-16,54,West Virginia,101
2024-03-16,56,Wyoming,11
2024-03-09,02,Alaska,5
2024-03-09,01,Alabama,78
2024-03-09,05,Arkansas,247
2024-03-09,04,Arizona,126
2024-03-09,06,California,207
2024-03-09,08,Colorado,81
2024-03-09,09,Connecticut,165
2024-03-09,11,District of Columbia,36
2024-03-09,10,Delaware,26
2024-03-09,12,Florida,536
2024-03-09,13,Georgia,156
2024-03-09,15,Hawaii,9
2024-03-09,19,Iowa,178
2024-03-09,16,Idaho,70
2024-03-09,17,Illinois,269
2024-03-09,18,Indiana,338
2024-03-09,20,Kansas,92
2024-03-09,21,Kentucky,194
2024-03-09,22,Louisiana,55
2024-03-09,25,Massachusetts,367
2024-03-09,24,Maryland,175
2024-03-09,23,Maine,50
2024-03-09,26,Michigan,781
2024-03-09,27,Minnesota,174
2024-03-09,29,Missouri,408
2024-03-09,28,Mississippi,63
2024-03-09,30,Montana,28
2024-03-09,37,North Carolina,132
2024-03-09,38,North Dakota,21
2024-03-09,31,Nebraska,90
2024-03-09,33,New Hampshire,33
2024-03-09,34,New Jersey,272
2024-03-09,35,New Mexico,77
2024-03-09,32,Nevada,43
2024-03-09,36,New York,596
2024-03-09,39,Ohio,623
2024-03-09,40,Oklahoma,181
2024-03-09,41,Oregon,79
2024-03-09,42,Pennsylvania,511
2024-03-09,72,Puerto Rico,52
2024-03-09,44,Rhode Island,24
2024-03-09,45,South Carolina,97
2024-03-09,46,South Dakota,37
2024-03-09,47,Tennessee,188
2024-03-09,48,Texas,487
2024-03-09,US,US,9113
2024-03-09,49,Utah,14
2024-03-09,51,Virginia,201
2024-03-09,50,Vermont,29
2024-03-09,53,Washington,56
2024-03-09,55,Wisconsin,198
2024-03-09,54,West Virginia,143
2024-03-09,56,Wyoming,15
2024-03-02,02,Alaska,11
2024-03-02,01,Alabama,85
2024-03-02,05,Arkansas,278
2024-03-02,04,Arizona,182
2024-03-02,06,California,269
2024-03-02,08,Colorado,93
2024-03-02,09,Connecticut,213
2024-03-02,11,District of Columbia,15
2024-03-02,10,Delaware,33
2024-03-02,12,Florida,538
2024-03-02,13,Georgia,202
2024-03-02,15,Hawaii,16
2024-03-02,19,Iowa,180
2024-03-02,16,Idaho,61
2024-03-02,17,Illinois,331
2024-03-02,18,Indiana,323
2024-03-02,20,Kansas,88
2024-03-02,21,Kentucky,297
2024-03-02,22,Louisiana,78
2024-03-02,25,Massachusetts,499
2024-03-02,24,Maryland,176
2024-03-02,23,Maine,64
2024-03-02,26,Michigan,901
2024-03-02,27,Minnesota,182
2024-03-02,29,Missouri,444
2024-03-02,28,Mississippi,74
2024-03-02,30,Montana,27
2024-03-02,37,North Carolina,160
2024-03-02,38,North Dakota,22
2024-03-02,31,Nebraska,96
2024-03-02,33,New Hampshire,39
2024-03-02,34,New Jersey,343
2024-03-02,35,New Mexico,61
2024-03-02,32,Nevada,49
2024-03-02,36,New York,773
2024-03-02,39,Ohio,639
2024-03-02,40,Oklahoma,179
2024-03-02,41,Oregon,76
2024-03-02,42,Pennsylvania,544
2024-03-02,72,Puerto Rico,43
2024-03-02,44,Rhode Island,27
2024-03-02,45,South Carolina,107
2024-03-02,46,South Dakota,46
2024-03-02,47,Tennessee,237
2024-03-02,48,Texas,655
2024-03-02,US,US,10500
2024-03-02,49,Utah,17
2024-03-02,51,Virginia,215
2024-03-02,50,Vermont,30
2024-03-02,53,Washington,76
2024-03-02,55,Wisconsin,200
2024-03-02,54,West Virginia,181
2024-03-02,56,Wyoming,25
2024-02-24,02,Alaska,4
2024-02-24,01,Alabama,89
2024-02-24,05,Arkansas,275
2024-02-24,04,Arizona,204
2024-02-24,06,California,300
2024-02-24,08,Colorado,129
2024-02-24,09,Connecticut,173
2024-02-24,11,District of Columbia,18
2024-02-24,10,Delaware,24
2024-02-24,12,Florida,625
2024-02-24,13,Georgia,188
2024-02-24,15,Hawaii,14
2024-02-24,19,Iowa,157
2024-02-24,16,Idaho,90
2024-02-24,17,Illinois,299
2024-02-24,18,Indiana,346
2024-02-24,20,Kansas,86
2024-02-24,21,Kentucky,281
2024-02-24,22,Louisiana,95
2024-02-24,25,Massachusetts,438
2024-02-24,24,Maryland,118
2024-02-24,23,Maine,69
2024-02-24,26,Michigan,841
2024-02-24,27,Minnesota,159
2024-02-24,29,Missouri,454
2024-02-24,28,Mississippi,57
2024-02-24,30,Montana,22
2024-02-24,37,North Carolina,160
2024-02-24,38,North Dakota,25
2024-02-24,31,Nebraska,86
2024-02-24,33,New Hampshire,33
2024-02-24,34,New Jersey,297
2024-02-24,35,New Mexico,60
2024-02-24,32,Nevada,43
2024-02-24,36,New York,798
2024-02-24,39,Ohio,662
2024-02-24,40,Oklahoma,170
2024-02-24,41,Oregon,89
2024-02-24,42,Pennsylvania,500
2024-02-24,72,Puerto Rico,52
2024-02-24,44,Rhode Island,35
2024-02-24,45,South Carolina,111
2024-02-24,46,South Dakota,42
2024-02-24,47,Tennessee,203
2024-02-24,48,Texas,788
2024-02-24,US,US,10454
2024-02-24,49,Utah,9
2024-02-24,51,Virginia,208
2024-02-24,50,Vermont,26
2024-02-24,53,Washington,99
2024-02-24,55,Wisconsin,213
2024-02-24,54,West Virginia,163
2024-02-24,56,Wyoming,27
2024-02-17,02,Alaska,2
2024-02-17,01,Alabama,122
2024-02-17,05,Arkansas,258
2024-02-17,04,Arizona,204
2024-02-17,06,California,328
2024-02-17,08,Colorado,137
2024-02-17,09,Connecticut,119
2024-02-17,11,District of Columbia,19
2024-02-17,10,Delaware,36
2024-02-17,12,Florida,678
2024-02-17,13,Georgia,259
2024-02-17,15,Hawaii,10
2024-02-17,19,Iowa,124
2024-02-17,16,Idaho,59
2024-02-17,17,Illinois,262
2024-02-17,18,Indiana,349
2024-02-17,20,Kansas,175
2024-02-17,21,Kentucky,282
2024-02-17,22,Louisiana,85
2024-02-17,25,Massachusetts,500
2024-02-17,24,Maryland,123
2024-02-17,23,Maine,86
2024-02-17,26,Michigan,671
2024-02-17,27,Minnesota,173
2024-02-17,29,Missouri,354
2024-02-17,28,Mississippi,97
2024-02-17,30,Montana,24
2024-02-17,37,North Carolina,179
2024-02-17,38,North Dakota,29
2024-02-17,31,Nebraska,56
2024-02-17,33,New Hampshire,41
2024-02-17,34,New Jersey,370
2024-02-17,35,New Mexico,73
2024-02-17,32,Nevada,51
2024-02-17,36,New York,790
2024-02-17,39,Ohio,610
2024-02-17,40,Oklahoma,391
2024-02-17,41,Oregon,65
2024-02-17,42,Pennsylvania,499
2024-02-17,72,Puerto Rico,52
2024-02-17,44,Rhode Island,30
2024-02-17,45,South Carolina,130
2024-02-17,46,South Dakota,26
2024-02-17,47,Tennessee,195
2024-02-17,48,Texas,892
2024-02-17,US,US,10767
2024-02-17,49,Utah,19
2024-02-17,51,Virginia,202
2024-02-17,50,Vermont,21
2024-02-17,53,Washington,73
2024-02-17,55,Wisconsin,209
2024-02-17,54,West Virginia,184
2024-02-17,56,Wyoming,44
2024-02-10,02,Alaska,11
2024-02-10,01,Alabama,112
2024-02-10,05,Arkansas,292
2024-02-10,04,Arizona,188
2024-02-10,06,California,411
2024-02-10,08,Colorado,196
2024-02-10,09,Connecticut,142
2024-02-10,11,District of Columbia,14
2024-02-10,10,Delaware,25
2024-02-10,12,Florida,828
2024-02-10,13,Georgia,308
2024-02-10,15,Hawaii,17
2024-02-10,19,Iowa,112
2024-02-10,16,Idaho,61
2024-02-10,17,Illinois,250
2024-02-10,18,Indiana,371
2024-02-10,20,Kansas,175
2024-02-10,21,Kentucky,284
2024-02-10,22,Louisiana,97
2024-02-10,25,Massachusetts,379
2024-02-10,24,Maryland,111
2024-02-10,23,Maine,77
2024-02-10,26,Michigan,590
2024-02-10,27,Minnesota,164
2024-02-10,29,Missouri,344
2024-02-10,28,Mississippi,89
2024-02-10,30,Montana,82
2024-02-10,37,North Carolina,174
2024-02-10,38,North Dakota,31
2024-02-10,31,Nebraska,56
2024-02-10,33,New Hampshire,45
2024-02-10,34,New Jersey,323
2024-02-10,35,New Mexico,78
2024-02-10,32,Nevada,35
2024-02-10,36,New York,703
2024-02-10,39,Ohio,608
2024-02-10,40,Oklahoma,469
2024-02-10,41,Oregon,87
2024-02-10,42,Pennsylvania,430
2024-02-10,72,Puerto Rico,68
2024-02-10,44,Rhode Island,21
2024-02-10,45,South Carolina,132
2024-02-10,46,South Dakota,18
2024-02-10,47,Tennessee,197
2024-02-10,48,Texas,1176
2024-02-10,US,US,11018
2024-02-10,49,Utah,16
2024-02-10,51,Virginia,179
2024-02-10,50,Vermont,20
2024-02-10,53,Washington,80
2024-02-10,55,Wisconsin,178
2024-02-10,54,West Virginia,131
2024-02-10,56,Wyoming,33
2024-02-03,02,Alaska,8
2024-02-03,01,Alabama,103
2024-02-03,05,Arkansas,245
2024-02-03,04,Arizona,360
2024-02-03,06,California,517
2024-02-03,08,Colorado,196
2024-02-03,09,Connecticut,111
2024-02-03,11,District of Columbia,20
2024-02-03,10,Delaware,25
2024-02-03,12,Florida,711
2024-02-03,13,Georgia,354
2024-02-03,15,Hawaii,5
2024-02-03,19,Iowa,107
2024-02-03,16,Idaho,71
2024-02-03,17,Illinois,272
2024-02-03,18,Indiana,367
2024-02-03,20,Kansas,157
2024-02-03,21,Kentucky,226
2024-02-03,22,Louisiana,121
2024-02-03,25,Massachusetts,415
2024-02-03,24,Maryland,113
2024-02-03,23,Maine,65
2024-02-03,26,Michigan,421
2024-02-03,27,Minnesota,150
2024-02-03,29,Missouri,303
2024-02-03,28,Mississippi,116
2024-02-03,30,Montana,86
2024-02-03,37,North Carolina,255
2024-02-03,38,North Dakota,40
2024-02-03,31,Nebraska,47
2024-02-03,33,New Hampshire,37
2024-02-03,34,New Jersey,331
2024-02-03,35,New Mexico,77
2024-02-03,32,Nevada,58
2024-02-03,36,New York,770
2024-02-03,39,Ohio,591
2024-02-03,40,Oklahoma,421
2024-02-03,41,Oregon,84
2024-02-03,42,Pennsylvania,456
2024-02-03,72,Puerto Rico,34
2024-02-03,44,Rhode Island,17
2024-02-03,45,South Carolina,175
2024-02-03,46,South Dakota,23
2024-02-03,47,Tennessee,223
2024-02-03,48,Texas,1350
2024-02-03,US,US,11317
2024-02-03,49,Utah,28
2024-02-03,51,Virginia,190
2024-02-03,50,Vermont,18
2024-02-03,53,Washington,105
2024-02-03,55,Wisconsin,175
2024-02-03,54,West Virginia,127
2024-02-03,56,Wyoming,40
2024-01-27,02,Alaska,7
2024-01-27,01,Alabama,143
2024-01-27,05,Arkansas,276
2024-01-27,04,Arizona,649
2024-01-27,06,California,706
2024-01-27,08,Colorado,229
2024-01-27,09,Connecticut,156
2024-01-27,11,District of Columbia,21
2024-01-27,10,Delaware,28
2024-01-27,12,Florida,836
2024-01-27,13,Georgia,459
2024-01-27,15,Hawaii,30
2024-01-27,19,Iowa,76
2024-01-27,16,Idaho,69
2024-01-27,17,Illinois,275
2024-01-27,18,Indiana,335
2024-01-27,20,Kansas,68
2024-01-27,21,Kentucky,255
2024-01-27,22,Louisiana,130
2024-01-27,25,Massachusetts,356
2024-01-27,24,Maryland,171
2024-01-27,23,Maine,34
2024-01-27,26,Michigan,342
2024-01-27,27,Minnesota,144
2024-01-27,29,Missouri,272
2024-01-27,28,Mississippi,164
2024-01-27,30,Montana,106
2024-01-27,37,North Carolina,308
2024-01-27,38,North Dakota,48
2024-01-27,31,Nebraska,47
2024-01-27,33,New Hampshire,24
2024-01-27,34,New Jersey,346
2024-01-27,35,New Mexico,104
2024-01-27,32,Nevada,69
2024-01-27,36,New York,923
2024-01-27,39,Ohio,590
2024-01-27,40,Oklahoma,346
2024-01-27,41,Oregon,98
2024-01-27,42,Pennsylvania,409
2024-01-27,72,Puerto Rico,51
2024-01-27,44,Rhode Island,27
2024-01-27,45,South Carolina,213
2024-01-27,46,South Dakota,27
2024-01-27,47,Tennessee,280
2024-01-27,48,Texas,1435
2024-01-27,US,US,12448
2024-01-27,49,Utah,38
2024-01-27,51,Virginia,270
2024-01-27,50,Vermont,21
2024-01-27,53,Washington,120
2024-01-27,55,Wisconsin,141
2024-01-27,54,West Virginia,136
2024-01-27,56,Wyoming,40
2024-01-20,02,Alaska,9
2024-01-20,01,Alabama,173
2024-01-20,05,Arkansas,227
2024-01-20,04,Arizona,700
2024-01-20,06,California,1042
2024-01-20,08,Colorado,197
2024-01-20,09,Connecticut,128
2024-01-20,11,District of Columbia,27
2024-01-20,10,Delaware,32
2024-01-20,12,Florida,888
2024-01-20,13,Georgia,500
2024-01-20,15,Hawaii,23
2024-01-20,19,Iowa,95
2024-01-20,16,Idaho,88
2024-01-20,17,Illinois,335
2024-01-20,18,Indiana,335
2024-01-20,20,Kansas,66
2024-01-20,21,Kentucky,197
2024-01-20,22,Louisiana,141
2024-01-20,25,Massachusetts,390
2024-01-20,24,Maryland,198
2024-01-20,23,Maine,40
2024-01-20,26,Michigan,320
2024-01-20,27,Minnesota,123
2024-01-20,29,Missouri,266
2024-01-20,28,Mississippi,166
2024-01-20,30,Montana,81
2024-01-20,37,North Carolina,310
2024-01-20,38,North Dakota,41
2024-01-20,31,Nebraska,35
2024-01-20,33,New Hampshire,30
2024-01-20,34,New Jersey,441
2024-01-20,35,New Mexico,114
2024-01-20,32,Nevada,84
2024-01-20,36,New York,863
2024-01-20,39,Ohio,505
2024-01-20,40,Oklahoma,253
2024-01-20,41,Oregon,85
2024-01-20,42,Pennsylvania,454
2024-01-20,72,Puerto Rico,50
2024-01-20,44,Rhode Island,35
2024-01-20,45,South Carolina,197
2024-01-20,46,South Dakota,16
2024-01-20,47,Tennessee,361
2024-01-20,48,Texas,1292
2024-01-20,US,US,12801
2024-01-20,49,Utah,28
2024-01-20,51,Virginia,305
2024-01-20,50,Vermont,26
2024-01-20,53,Washington,145
2024-01-20,55,Wisconsin,176
2024-01-20,54,West Virginia,145
2024-01-20,56,Wyoming,23
2024-01-13,02,Alaska,6
2024-01-13,01,Alabama,237
2024-01-13,05,Arkansas,223
2024-01-13,04,Arizona,728
2024-01-13,06,California,1030
2024-01-13,08,Colorado,286
2024-01-13,09,Connecticut,159
2024-01-13,11,District of Columbia,37
2024-01-13,10,Delaware,34
2024-01-13,12,Florida,1071
2024-01-13,13,Georgia,635
2024-01-13,15,Hawaii,25
2024-01-13,19,Iowa,84
2024-01-13,16,Idaho,102
2024-01-13,17,Illinois,380
2024-01-13,18,Indiana,403
2024-01-13,20,Kansas,100
2024-01-13,21,Kentucky,240
2024-01-13,22,Louisiana,254
2024-01-13,25,Massachusetts,518
2024-01-13,24,Maryland,245
2024-01-13,23,Maine,47
2024-01-13,26,Michigan,366
2024-01-13,27,Minnesota,161
2024-01-13,29,Missouri,316
2024-01-13,28,Mississippi,235
2024-01-13,30,Montana,114
2024-01-13,37,North Carolina,505
2024-01-13,38,North Dakota,32
2024-01-13,31,Nebraska,55
2024-01-13,33,New Hampshire,47
2024-01-13,34,New Jersey,570
2024-01-13,35,New Mexico,154
2024-01-13,32,Nevada,151
2024-01-13,36,New York,1028
2024-01-13,39,Ohio,542
2024-01-13,40,Oklahoma,214
2024-01-13,41,Oregon,115
2024-01-13,42,Pennsylvania,578
2024-01-13,72,Puerto Rico,61
2024-01-13,44,Rhode Island,34
2024-01-13,45,South Carolina,268
2024-01-13,46,South Dakota,32
2024-01-13,47,Tennessee,394
2024-01-13,48,Texas,1391
2024-01-13,US,US,15291
2024-01-13,49,Utah,47
2024-01-13,51,Virginia,393
2024-01-13,50,Vermont,24
2024-01-13,53,Washington,161
2024-01-13,55,Wisconsin,267
2024-01-13,54,West Virginia,136
2024-01-13,56,Wyoming,56
2024-01-06,02,Alaska,5
2024-01-06,01,Alabama,350
2024-01-06,05,Arkansas,234
